,Temperature,Pressure,Phase,Number Of Components,Component 1,Mole Fraction 1,Component 2,Mole Fraction 2,ExcessMolarVolume Value,ExcessMolarVolume Uncertainty,Density Value,Density Uncertainty,EnthalpyOfVaporization Value,EnthalpyOfVaporization Uncertainty,EnthalpyOfMixing Value,EnthalpyOfMixing Uncertainty,DielectricConstant Value,DielectricConstant Uncertainty
61,298.15 kelvin,101.0 kilopascal,2,2,CN1CCCCC1,0.004409000000000001,O,0.995591,,,,,,,29.27106196709792 kilogram * meter ** 2 / mole / second ** 2,16.037480970234128 kilogram * meter ** 2 / mole / second ** 2,,
62,308.15 kelvin,101.0 kilopascal,2,2,CN1CCCCC1,0.78,O,0.22,1.0245974289663196e-07 meter ** 3 / mole,1.6450163719242414e-08 meter ** 3 / mole,,,,,,,,
63,298.15 kelvin,101.0 kilopascal,2,2,C(CO)O,0.25008,O,0.7499199999999999,-2.5977985321957054e-07 meter ** 3 / mole,1.636161326628279e-08 meter ** 3 / mole,,,,,,,,
64,298.15 kelvin,101.0 kilopascal,2,2,C(CO)O,0.20509999999999995,O,0.7949,,,,,,,364.5940718819138 kilogram * meter ** 2 / mole / second ** 2,16.944777642159053 kilogram * meter ** 2 / mole / second ** 2,,
65,298.15 kelvin,101.0 kilopascal,2,2,C(CO)O,0.7908999999999999,O,0.2091,,,,,,,150.20057373419695 kilogram * meter ** 2 / mole / second ** 2,16.125760470337408 kilogram * meter ** 2 / mole / second ** 2,,
66,298.15 kelvin,101.0 kilopascal,2,2,C(CO)O,0.77876,O,0.22124,-1.402839891276195e-07 meter ** 3 / mole,1.43911639078218e-08 meter ** 3 / mole,,,,,,,,
67,298.15 kelvin,101.0 kilopascal,2,2,C(C(F)(F)F)O,0.29878000000000005,O,0.70122,,,,,,,514.0413723651727 kilogram * meter ** 2 / mole / second ** 2,16.85260411168792 kilogram * meter ** 2 / mole / second ** 2,,
68,298.15 kelvin,101.0 kilopascal,2,2,C(C(F)(F)F)O,0.7077899999999999,O,0.29220999999999997,,,,,,,139.90258573228493 kilogram * meter ** 2 / mole / second ** 2,15.985567078603975 kilogram * meter ** 2 / mole / second ** 2,,
69,297.15 kelvin,101.0 kilopascal,2,2,c1ccncc1,0.27,O,0.73,,,,,,,728.5597878127228 kilogram * meter ** 2 / mole / second ** 2,15.653072385246315 kilogram * meter ** 2 / mole / second ** 2,,
70,297.15 kelvin,101.0 kilopascal,2,2,c1ccncc1,0.75,O,0.25,,,,,,,693.8762973975972 kilogram * meter ** 2 / mole / second ** 2,16.807029199303773 kilogram * meter ** 2 / mole / second ** 2,,
71,298.15 kelvin,101.0 kilopascal,2,2,Cn1ccnc1,0.006766,O,0.993234,,,,,,,70.80725289731163 kilogram * meter ** 2 / mole / second ** 2,14.323036123118387 kilogram * meter ** 2 / mole / second ** 2,,
72,298.15 kelvin,101.0 kilopascal,2,2,Cc1cccnc1,0.005509,O,0.994491,,,,,,,51.45907073127091 kilogram * meter ** 2 / mole / second ** 2,13.035207394534456 kilogram * meter ** 2 / mole / second ** 2,,
73,298.15 kelvin,101.0 kilopascal,2,2,Cc1ccncc1,0.005492,O,0.994508,,,,,,,44.87717153545964 kilogram * meter ** 2 / mole / second ** 2,13.808748594347833 kilogram * meter ** 2 / mole / second ** 2,,
74,298.15 kelvin,101.0 kilopascal,2,2,Cc1cccc(n1)C,0.004618,O,0.995382,,,,,,,2.2079365320714714 kilogram * meter ** 2 / mole / second ** 2,13.921813984443707 kilogram * meter ** 2 / mole / second ** 2,,
