,Temperature,Pressure,Phase,Number Of Components,Component 1,Mole Fraction 1,Component 2,Mole Fraction 2,EnthalpyOfMixing Value,EnthalpyOfMixing Uncertainty,ExcessMolarVolume Value,ExcessMolarVolume Uncertainty,DielectricConstant Value,DielectricConstant Uncertainty,EnthalpyOfVaporization Value,EnthalpyOfVaporization Uncertainty,Density Value,Density Uncertainty
174,293.0 kelvin,101.325 kilopascal,2,1,C=CCCl,1.0,,,,,,,,,,,937.5 kilogram / meter ** 3,0.0 kilogram / meter ** 3
175,303.15 kelvin,101.325 kilopascal,2,1,CN(C)CCO,1.0,,,,,,,17.18 dimensionless,0.0 dimensionless,,,879.57 kilogram / meter ** 3,0.0 kilogram / meter ** 3
176,298.15 kelvin,101.325 kilopascal,2,1,C1CCC(=O)C1,1.0,,,,,,,13.49 dimensionless,0.0 dimensionless,,,944.107 kilogram / meter ** 3,0.0 kilogram / meter ** 3
177,303.28 kelvin,100.4 kilopascal,2,1,C(=C(F)F)(C(F)(F)F)F,1.0,,,,,,,,,,,6.09 kilogram / meter ** 3,0.0 kilogram / meter ** 3
178,293.15 kelvin,101.325 kilopascal,2,1,c1ccoc1,1.0,,,,,,,,,,,937.505 kilogram / meter ** 3,0.0 kilogram / meter ** 3
179,298.15 kelvin,101.325 kilopascal,2,1,C(C(C(C(C(F)(F)Br)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,1.0,,,,,,,,,,,1914.8 kilogram / meter ** 3,0.0 kilogram / meter ** 3
180,289.15 kelvin,101.325 kilopascal,2,1,CC=O,1.0,,,,,,,,,,,788.02 kilogram / meter ** 3,0.0 kilogram / meter ** 3
181,298.15 kelvin,101.0 kilopascal,2,1,CC(=O)c1cccs1,1.0,,,,,,,29.19 dimensionless,0.0 dimensionless,,,1166.29 kilogram / meter ** 3,0.0 kilogram / meter ** 3
182,293.15 kelvin,101.0 kilopascal,2,1,C(C(Br)Br)(Br)Br,1.0,,,,,,,,,,,2963.2 kilogram / meter ** 3,0.0 kilogram / meter ** 3
183,298.15 kelvin,101.325 kilopascal,2,1,C(Cl)(Cl)(Cl)Br,1.0,,,,,,,,,,,2002.14 kilogram / meter ** 3,0.0 kilogram / meter ** 3
184,298.15 kelvin,101.0 kilopascal,2,1,c1cnc(nc1O)O,1.0,,,,,,,,,,,1097.6 kilogram / meter ** 3,0.0 kilogram / meter ** 3
185,303.15 kelvin,101.325 kilopascal,2,1,CSSC,1.0,,,,,,,,,,,1051.14 kilogram / meter ** 3,0.0 kilogram / meter ** 3
